SITE	CAMPSITE	FMSS	UTM_E_27	UTM_N_27	LON_27	LAT_27	LON_DMS_27	LAT_DMS_27	UTM_E_83	UTM_N_83	LON_83	LAT_83	LON_DMS_83	LAT_DMS_83	GPS_DATE	DATAFILE	MAX_PDOP	MAX_HDOP	UNFILT_POS	HORZ_PREC	STD_DEV	East_UTM84	Nor_UTM84
B-7/031	Sourdough	89140	442390.39700	4463714.60800	-105.67810	40.32387	"W105? 40? 41.15"""	"N40? 19? 25.93"""	442344.26433	4463923.90433	-105.67866	40.32385	"W105? 40? 43.17"""	"N40? 19? 25.88"""	6/27/2005	H062713A.cor	6.00000	2.00000	122.00000	2.00000	1.00000	442350.62207100000	4463918.42841000000
B-8-NE/029	Spruce Lake	89137	441744.98300	4465906.30100	-105.68589	40.34357	"W105? 41? 09.22"""	"N40? 20? 36.85"""	441698.86478	4466115.62782	-105.68646	40.34355	"W105? 41? 11.24"""	"N40? 20? 36.8"""	7/13/2005	H071320A.cor	11.00000	10.00000	138.00000	2.00000	3.00000	441705.20647500000	4466110.12677000000
B-8-SW/029	Spruce Lake	89137	441670.34600	4465845.62500	-105.68677	40.34302	"W105? 41? 12.36"""	"N40? 20? 34.87"""	441624.22603	4466054.95186	-105.68733	40.34300	"W105? 41? 14.38"""	"N40? 20? 34.81"""	7/13/2005	H071315A.cor	12.00000	10.00000	122.00000	2.00000	5.00000	441630.56929300000	4466049.45062000000
B-9-1/034	Upper Mill Creek	89781	446193.20400	4464692.37200	-105.63342	40.33293	"W105? 38? 00.32"""	"N40? 19? 58.56"""	446147.13745	4464901.64316	-105.63398	40.33292	"W105? 38? 02.33"""	"N40? 19? 58.5"""	7/10/2005	H071016A.cor	9.00000	3.00000	125.00000	2.00000	2.00000	446153.43834300000	4464896.19484000000
B-9-2/034	Upper Mill Creek	89781	446115.74700	4464657.43400	-105.63433	40.33261	"W105? 38? 03.59"""	"N40? 19? 57.41"""	446069.67893	4464866.70550	-105.63489	40.33260	"W105? 38? 05.6"""	"N40? 19? 57.35"""	7/10/2005	H071016A.cor	12.00000	9.00000	106.00000	3.00000	8.00000	446075.98115400000	4464861.25675000000
EI-1-1/063	Cats Lair	90694	436106.65600	4452925.43900	-105.75098	40.22622	"W105? 45? 03.53"""	"N40? 13? 34.38"""	436060.34671	4453134.67737	-105.75154	40.22620	"W105? 45? 05.56"""	"N40? 13? 34.33"""	6/28/2005	G062817A.cor	11.00000	5.00000	125.00000	2.00000	4.00000	436066.86585100000	4453129.23292000000
EI-1-2/063	Cats Lair	90694	436110.77800	4452898.35100	-105.75093	40.22597	"W105? 45? 03.34"""	"N40? 13? 33.5"""	436064.46875	4453107.58907	-105.75149	40.22596	"W105? 45? 05.37"""	"N40? 13? 33.45"""	6/28/2005	G062817A.cor	12.00000	6.00000	246.00000	2.00000	21.00000	436070.98786100000	4453102.14485000000
EI-1-3/063	Cats Lair	90694	436130.83800	4452956.37000	-105.75070	40.22650	"W105? 45? 02.51"""	"N40? 13? 35.39"""	436084.52907	4453165.60849	-105.75126	40.22648	"W105? 45? 04.54"""	"N40? 13? 35.33"""	6/28/2005	G062817A.cor	9.00000	7.00000	122.00000	2.00000	7.00000	436091.04790900000	4453160.16400000000
EI-2-N/061	East Meadow	90692	433183.52300	4454103.63500	-105.78546	40.23660	"W105? 47? 07.64"""	"N40? 14? 11.77"""	433137.17206	4454312.90690	-105.78602	40.23659	"W105? 47? 09.68"""	"N40? 14? 11.71"""	6/28/2005	G062815C.cor	5.00000	3.00000	123.00000	2.00000	3.00000	433143.72571000000	4454307.43177000000
EI-2-S/061	East Meadow	90692	433155.14000	4454118.41000	-105.78579	40.23673	"W105? 47? 08.85"""	"N40? 14? 12.24"""	433108.78866	4454327.68227	-105.78636	40.23672	"W105? 47? 10.89"""	"N40? 14? 12.19"""	6/28/2005	G062815C.cor	11.00000	6.00000	124.00000	3.00000	14.00000	433115.34264000000	4454322.20681000000
