SITE	CAMPSITE	FMSS	UTM_E_27	UTM_N_27	LON_27	LAT_27	LON_DMS_27	LAT_DMS_27	UTM_E_83	UTM_N_83	LON_83	LAT_83	LON_DMS_83	LAT_DMS_83	GPS_DATE	DATAFILE	MAX_PDOP	MAX_HDOP	UNFILT_POS	HORZ_PREC	STD_DEV	East_UTM84	Nor_UTM84
LP-1-8/044	Boulderfield	90662	447705.82700	4456937.48000	-105.61498	40.26317	"W105? 36? 53.94"""	"N40? 15? 47.39"""	447659.69390	4457146.65039	-105.61554	40.26315	"W105? 36? 55.95"""	"N40? 15? 47.34"""	8/10/2005	I081021A.cor	0.00000	0.00000	122.00000	2.00000	1.00000	447666.06510200000	4457141.28386000000
LP-1-9/044	Boulderfield	90662	447697.48300	4456929.20200	-105.61508	40.26309	"W105? 36? 54.29"""	"N40? 15? 47.12"""	447651.34969	4457138.37238	-105.61564	40.26307	"W105? 36? 56.3"""	"N40? 15? 47.07"""	8/10/2005	I081021A.cor	0.00000	0.00000	123.00000	1.00000	1.00000	447657.72108200000	4457133.00584000000
LP-2-G/043	Battle Mountain Group	90661	450467.56400	4458001.63300	-105.58259	40.27292	"W105? 34? 57.32"""	"N40? 16? 22.51"""	450421.48160	4458210.78933	-105.58315	40.27290	"W105? 34? 59.32"""	"N40? 16? 22.46"""	8/11/2005	I081121A.cor	0.00000	0.00000	126.00000	2.00000	2.00000	450427.80883100000	4458205.43949000000
LP-3-1/038	Boulder Brook	90648	447525.42600	4460116.07400	-105.61736	40.29179	"W105? 37? 02.51"""	"N40? 17? 30.44"""	447479.32668	4460325.28165	-105.61792	40.29177	"W105? 37? 04.52"""	"N40? 17? 30.39"""	7/16/2005	H071618A.cor	6.00000	3.00000	134.00000	1.00000	1.00000	447485.66363500000	4460319.88564000000
LP-3-2/038	Boulder Brook	90648	447495.52100	4460316.32400	-105.61773	40.29359	"W105? 37? 03.84"""	"N40? 17? 36.93"""	447449.42354	4460525.53417	-105.61829	40.29358	"W105? 37? 05.85"""	"N40? 17? 36.88"""	7/16/2005	H071618B.cor	5.00000	3.00000	126.00000	1.00000	2.00000	447455.75856000000	4460520.13613000000
LP-3-G/038	Boulder Brook	90648	447572.53300	4459781.08700	-105.61678	40.28877	"W105? 37? 00.42"""	"N40? 17? 19.59"""	447526.43052	4459990.29047	-105.61734	40.28876	"W105? 37? 02.43"""	"N40? 17? 19.53"""	7/16/2005	H071617A.cor	5.00000	3.00000	122.00000	2.00000	2.00000	447532.77075300000	4459984.89782000000
LP-5/039	Glacier Gorge	90656	445677.17300	4459013.18900	-105.63901	40.28174	"W105? 38? 20.45"""	"N40? 16? 54.25"""	445631.03513	4459222.40176	-105.63957	40.28172	"W105? 38? 22.46"""	"N40? 16? 54.19"""	7/4/2005	G070422A.cor	11.00000	3.00000	160.00000	3.00000	5.00000	445637.40613500000	4459216.99792000000
LP-6-1/042	Goblins Forest	90660	451517.84700	4457913.77900	-105.57023	40.27219	"W105? 34? 12.82"""	"N40? 16? 19.89"""	451471.77822	4458122.92448	-105.57079	40.27217	"W105? 34? 14.83"""	"N40? 16? 19.83"""	7/15/2005	G071515A.cor	10.00000	4.00000	125.00000	3.00000	2.00000	451478.09439400000	4458117.58528000000
LP-6-2/042	Goblins Forest	90660	451520.27000	4457871.37400	-105.57020	40.27181	"W105? 34? 12.71"""	"N40? 16? 18.51"""	451474.20076	4458080.51898	-105.57075	40.27179	"W105? 34? 14.71"""	"N40? 16? 18.45"""	7/15/2005	G071515A.cor	11.00000	5.00000	123.00000	2.00000	4.00000	451480.51740000000	4458075.18018000000
LP-6-3/042	Goblins Forest	90660	451485.71500	4457856.30500	-105.57060	40.27167	"W105? 34? 14.17"""	"N40? 16? 18.01"""	451439.64510	4458065.45014	-105.57116	40.27166	"W105? 34? 16.17"""	"N40? 16? 17.96"""	7/15/2005	G071515A.cor	7.00000	3.00000	123.00000	2.00000	4.00000	451445.96231600000	4458060.11114000000
LP-6-4/042	Goblins Forest	90660	451466.19700	4457886.75100	-105.57083	40.27194	"W105? 34? 15."""	"N40? 16? 19."""	451420.12718	4458095.89666	-105.57139	40.27193	"W105? 34? 17.01"""	"N40? 16? 18.94"""	7/15/2005	G071515A.cor	8.00000	4.00000	123.00000	2.00000	3.00000	451426.44426800000	4458090.55721000000
LP-6-5/042	Goblins Forest	90660	451426.82400	4457900.93700	-105.57130	40.27207	"W105? 34? 16.67"""	"N40? 16? 19.45"""	451380.75380	4458110.08319	-105.57186	40.27205	"W105? 34? 18.68"""	"N40? 16? 19.39"""	7/15/2005	G071515A.cor	7.00000	3.00000	123.00000	2.00000	5.00000	451387.07117200000	4458104.74325000000
LP-6-6/042	Goblins Forest	90660	451437.87000	4457928.01800	-105.57117	40.27231	"W105? 34? 16.21"""	"N40? 16? 20.33"""	451391.80027	4458137.16439	-105.57173	40.27230	"W105? 34? 18.22"""	"N40? 16? 20.27"""	7/15/2005	G071515A.cor	7.00000	5.00000	123.00000	2.00000	3.00000	451398.11719900000	4458131.82431000000
LP-7-1/041	Moore Park	90659	451793.13200	4459483.55900	-105.56711	40.28635	"W105? 34? 01.59"""	"N40? 17? 10.85"""	451747.08560	4459692.71941	-105.56767	40.28633	"W105? 34? 03.6"""	"N40? 17? 10.8"""	7/15/2005	G071517A.cor	9.00000	5.00000	123.00000	2.00000	4.00000	451753.38005300000	4459687.36913000000
LP-7-2/042	Moore Park	90660	451673.02300	4459567.95700	-105.56853	40.28710	"W105? 34? 06.7"""	"N40? 17? 13.57"""	451626.97591	4459777.11948	-105.56909	40.28709	"W105? 34? 08.71"""	"N40? 17? 13.51"""	7/15/2005	G071517A.cor	12.00000	9.00000	113.00000	2.00000	8.00000	451633.27075900000	4459771.76733000000
LP-8/036	Over The Hill	89783	449510.11200	4462569.90200	-105.59421	40.31402	"W105? 35? 39.15"""	"N40? 18? 50.47"""	449464.06922	4462779.11825	-105.59477	40.31400	"W105? 35? 41.16"""	"N40? 18? 50.41"""	7/1/2005	G070118A.cor	10.00000	5.00000	123.00000	2.00000	4.00000	449470.35445700000	4462773.71967000000
LP-9-1/037	Upper Wind River	90640	449121.62100	4462409.30700	-105.59877	40.31255	"W105? 35? 55.57"""	"N40? 18? 45.17"""	449075.57077	4462618.52513	-105.59933	40.31253	"W105? 35? 57.57"""	"N40? 18? 45.12"""	7/1/2005	G070117B.cor	11.00000	5.00000	122.00000	2.00000	4.00000	449081.86251000000	4462613.12427000000
LP-9-2/037	Upper Wind River	90640	449028.95500	4462300.18300	-105.59985	40.31156	"W105? 35? 59.46"""	"N40? 18? 41.61"""	448982.90218	4462509.40079	-105.60041	40.31154	"W105? 36? 01.47"""	"N40? 18? 41.56"""	7/1/2005	G070117A.cor	8.00000	5.00000	123.00000	2.00000	7.00000	448989.19628500000	4462504.00000000000
LR-1-1/024	Little Rock Lake	89124	436606.21500	4471024.45200	-105.74690	40.38930	"W105? 44? 48.85"""	"N40? 23? 21.49"""	436560.07439	4471233.88449	-105.74747	40.38929	"W105? 44? 50.88"""	"N40? 23? 21.43"""	7/21/2005	H072116A.cor	6.00000	4.00000	125.00000	1.00000	3.00000	436566.42587700000	4471228.29026000000
MGR-1/014	Peregrine	88834	454350.95300	4475193.30800	-105.53814	40.42802	"W105? 32? 17.32"""	"N40? 25? 40.88"""	454305.13177	4475402.61706	-105.53870	40.42800	"W105? 32? 19.31"""	"N40? 25? 40.82"""	6/27/2005	CowCreek.cor	8.00000	6.00000	128.00000	3.00000	5.00000	454311.20717300000	4475397.15664000000
MGR-2/013	Rabbit Ears	88833	455518.57400	4474956.50300	-105.52436	40.42595	"W105? 31? 27.71"""	"N40? 25? 33.42"""	455472.76807	4475165.79842	-105.52492	40.42593	"W105? 31? 29.7"""	"N40? 25? 33.36"""	6/27/2005	CowCreek.cor	10.00000	9.00000	129.00000	3.00000	3.00000	455478.83102600000	4475160.35107000000
NF-10/009	Stormy Peaks South	88823	451420.84800	4484205.84700	-105.57337	40.50905	"W105? 34? 24.15"""	"N40? 30? 32.57"""	451375.09261	4484415.27651	-105.57393	40.50903	"W105? 34? 26.15"""	"N40? 30? 32.51"""	7/22/2005	I072217A.cor	0.00000	0.00000	123.00000	1.00000	1.00000	451381.09494000000	4484409.71773000000
NF-1-1/011	Lost Meadow	88827	450751.12200	4483789.41800	-105.58125	40.50526	"W105? 34? 52.49"""	"N40? 30? 18.92"""	450705.34835	4483998.85129	-105.58180	40.50524	"W105? 34? 54.49"""	"N40? 30? 18.86"""	8/8/2005	H080818A.cor	8.00000	7.00000	123.00000	5.00000	2.00000	450711.36730600000	4483993.28770000000
NF-11-1/012	Lost Lake	88831	449265.71000	4484129.58100	-105.59880	40.50823	"W105? 35? 55.7"""	"N40? 30? 29.63"""	449219.91758	4484339.03012	-105.59936	40.50821	"W105? 35? 57.7"""	"N40? 30? 29.57"""	8/8/2005	H080818B.cor	10.00000	9.00000	127.00000	2.00000	4.00000	449225.95167300000	4484333.45152000000
NF-11-2/012	Lost Lake	88831	449349.60800	4484117.41900	-105.59781	40.50813	"W105? 35? 52.13"""	"N40? 30? 29.26"""	449303.81677	4484326.86727	-105.59837	40.50811	"W105? 35? 54.13"""	"N40? 30? 29.2"""	8/8/2005	H080818C.cor	5.00000	2.00000	128.00000	2.00000	1.00000	449309.84987800000	4484321.28949000000
NF-11-3/012	Lost Lake	88831	449182.97700	4483956.01000	-105.59977	40.50666	"W105? 35? 59.16"""	"N40? 30? 23.98"""	449137.18030	4484165.45896	-105.60032	40.50665	"W105? 36? 01.16"""	"N40? 30? 23.92"""	8/8/2005	H080819A.cor	6.00000	2.00000	122.00000	2.00000	2.00000	449143.21847200000	4484159.88009000000
NF-11-4/012	Lost Lake	88831	449209.34300	4483924.67200	-105.59945	40.50638	"W105? 35? 58.03"""	"N40? 30? 22.97"""	449163.54621	4484134.12055	-105.60001	40.50636	"W105? 36? 00.03"""	"N40? 30? 22.91"""	8/8/2005	H080819B.cor	12.00000	3.00000	123.00000	2.00000	10.00000	449169.58453700000	4484128.54202000000
NF-12/006	Happily Lost	88819	453196.95400	4483082.78000	-105.55233	40.49903	"W105? 33? 08.39"""	"N40? 29? 56.51"""	453151.20878	4483292.18518	-105.55288	40.49901	"W105? 33? 10.38"""	"N40? 29? 56.45"""	8/8/2005	H080816B.cor	6.00000	3.00000	123.00000	2.00000	1.00000	453157.20529000000	4483286.64799000000
NF-1-G/011	Lost Meadow Group	88827	450783.11900	4483679.79100	-105.58086	40.50427	"W105? 34? 51.1"""	"N40? 30? 15.37"""	450737.34400	4483889.22335	-105.58142	40.50425	"W105? 34? 53.1"""	"N40? 30? 15.31"""	9/5/2005	G090516A.cor	11.00000	11.00000	423.00000	2.00000	6.00000	450743.36438600000	4483883.66043000000
NF-2-1/001	Boundary Creek	88808	456131.00200	4482947.20500	-105.51770	40.49797	"W105? 31? 03.71"""	"N40? 29? 52.69"""	456085.30297	4483156.58075	-105.51825	40.49795	"W105? 31? 05.7"""	"N40? 29? 52.63"""	8/8/2005	H080813A.cor	8.00000	4.00000	122.00000	2.00000	3.00000	456091.26046200000	4483151.07268000000
NF-2-2/001	Boundary Creek	88808	456080.80400	4482990.51200	-105.51829	40.49836	"W105? 31? 05.85"""	"N40? 29? 54.09"""	456035.10468	4483199.88869	-105.51884	40.49834	"W105? 31? 07.84"""	"N40? 29? 54.03"""	8/8/2005	H080814A.cor	7.00000	4.00000	123.00000	2.00000	5.00000	456041.06233900000	4483194.37978000000
NF-3-1/002	Kettle Tarn	88814	455436.41400	4482909.00900	-105.52589	40.49759	"W105? 31? 33.2"""	"N40? 29? 51.32"""	455390.70319	4483118.39096	-105.52644	40.49757	"W105? 31? 35.2"""	"N40? 29? 51.26"""	8/8/2005	H080814B.cor	11.00000	5.00000	123.00000	2.00000	2.00000	455396.67076400000	4483112.87658000000
NF-3-2/002	Kettle Tarn	88814	455440.90900	4482834.85000	-105.52583	40.49692	"W105? 31? 33."""	"N40? 29? 48.92"""	455395.19736	4483044.23112	-105.52639	40.49690	"W105? 31? 34.99"""	"N40? 29? 48.86"""	8/8/2005	H080814C.cor	12.00000	5.00000	122.00000	2.00000	5.00000	455401.16577600000	4483038.71740000000
NF-4-1/004	Halfway	88817	454516.19800	4482781.81500	-105.53674	40.49639	"W105? 32? 12.26"""	"N40? 29? 47.02"""	454470.47067	4482991.20437	-105.53729	40.49638	"W105? 32? 14.26"""	"N40? 29? 46.96"""	8/8/2005	H080815B.cor	8.00000	5.00000	122.00000	2.00000	3.00000	454476.45251600000	4482985.68226000000
NF-4-2/004	Halfway	88817	454592.31100	4482817.80900	-105.53584	40.49672	"W105? 32? 09.04"""	"N40? 29? 48.2"""	454546.58534	4483027.19803	-105.53640	40.49671	"W105? 32? 11.03"""	"N40? 29? 48.14"""	8/8/2005	H080815C.cor	6.00000	3.00000	122.00000	1.00000	4.00000	454552.56570200000	4483021.67635000000
NF-5-1/003	Silvanmere	88816	455235.16400	4482285.55300	-105.52822	40.49196	"W105? 31? 41.6"""	"N40? 29? 31.06"""	455189.44237	4482494.93019	-105.52877	40.49195	"W105? 31? 43.59"""	"N40? 29? 31."""	8/8/2005	H080814D.cor	8.00000	5.00000	122.00000	2.00000	5.00000	455195.42027700000	4482489.41905000000
NF-5-2/003	Silvanmere	88816	455282.59100	4482289.37600	-105.52766	40.49200	"W105? 31? 39.58"""	"N40? 29? 31.2"""	455236.87018	4482498.75278	-105.52822	40.49198	"W105? 31? 41.57"""	"N40? 29? 31.14"""	8/8/2005	H080815A.cor	6.00000	3.00000	122.00000	2.00000	2.00000	455242.84739300000	4482493.24206000000
NF-6-G/005	Aspen Meadow Group	88818	453926.88700	4482923.78900	-105.54370	40.49764	"W105? 32? 37.34"""	"N40? 29? 51.51"""	453881.15177	4483133.18551	-105.54426	40.49762	"W105? 32? 39.33"""	"N40? 29? 51.44"""	8/8/2005	H080816A.cor	5.00000	3.00000	125.00000	2.00000	2.00000	453887.14007500000	4483127.65660000000
NF-7/008	Sugarloaf	88821	451135.03900	4483663.73400	-105.57671	40.50415	"W105? 34? 36.14"""	"N40? 30? 14.93"""	451089.26951	4483873.16293	-105.57726	40.50413	"W105? 34? 38.14"""	"N40? 30? 14.87"""	8/8/2005	H080817A.cor	12.00000	8.00000	124.00000	4.00000	6.00000	451095.28524600000	4483867.60339000000
NF-8-1/010	Stormy Peaks	88824	449025.76700	4486589.78400	-105.60183	40.53038	"W105? 36? 06.6"""	"N40? 31? 49.37"""	448980.01185	4486799.24838	-105.60239	40.53036	"W105? 36? 08.61"""	"N40? 31? 49.3"""	7/22/2005	I072215A.cor	0.00000	0.00000	122.00000	2.00000	4.00000	448986.00806500000	4486793.66055000000
NF-8-2/010	Stormy Peaks	88824	449110.53500	4486515.31500	-105.60083	40.52971	"W105? 36? 02.98"""	"N40? 31? 46.97"""	449064.78006	4486724.77826	-105.60138	40.52970	"W105? 36? 04.98"""	"N40? 31? 46.91"""	7/22/2005	I072215B.cor	0.00000	0.00000	122.00000	2.00000	3.00000	449070.77627200000	4486719.19137000000
NF-8-G/010	Stormy Peaks	88824	448966.52100	4486492.17600	-105.60253	40.52950	"W105? 36? 09.09"""	"N40? 31? 46.19"""	448920.76320	4486701.64038	-105.60308	40.52948	"W105? 36? 11.1"""	"N40? 31? 46.13"""	7/22/2005	I072214A.cor	0.00000	0.00000	121.00000	2.00000	1.00000	448926.76192100000	4486696.05231000000
NF-9-1/007	Lost Falls	88820	452760.42400	4483197.88900	-105.55749	40.50004	"W105? 33? 26.96"""	"N40? 30? 00.16"""	452714.67305	4483407.29956	-105.55804	40.50003	"W105? 33? 28.96"""	"N40? 30? 00.1"""	8/8/2005	H080816C.cor	6.00000	3.00000	122.00000	2.00000	6.00000	452720.67422200000	4483401.75726000000
NF-9-2/007	Lost Falls	88820	452689.29200	4483220.75900	-105.55833	40.50025	"W105? 33? 29.99"""	"N40? 30? 00.89"""	452643.54029	4483430.17039	-105.55889	40.50023	"W105? 33? 31.99"""	"N40? 30? 00.82"""	8/8/2005	H080816D.cor	11.00000	4.00000	122.00000	2.00000	5.00000	452649.54204800000	4483424.62732000000
NI-10-1/078	North Inlet Junction	90715	438785.09500	4458979.69000	-105.72008	40.28096	"W105? 43? 12.28"""	"N40? 16? 51.45"""	438738.85997	4459188.96754	-105.72064	40.28094	"W105? 43? 14.31"""	"N40? 16? 51.39"""	7/5/2005	H070516A.cor	6.00000	3.00000	121.00000	2.00000	4.00000	438745.31132100000	4459183.49877000000
NI-10-2/078	North Inlet Junction	90715	438831.77900	4458915.69600	-105.71952	40.28038	"W105? 43? 10.28"""	"N40? 16? 49.39"""	438785.54395	4459124.97238	-105.72009	40.28037	"W105? 43? 12.31"""	"N40? 16? 49.33"""	7/5/2005	H070516B.cor	8.00000	4.00000	132.00000	2.00000	7.00000	438791.99543600000	4459119.50462000000
NI-10-3/078	North Inlet Junction	90715	438795.12000	4458872.22000	-105.71995	40.27999	"W105? 43? 11.82"""	"N40? 16? 47.97"""	438748.88397	4459081.49624	-105.72051	40.27998	"W105? 43? 13.85"""	"N40? 16? 47.91"""	7/5/2005	H070516C.cor	9.00000	5.00000	123.00000	1.00000	3.00000	438755.33634700000	4459076.02851000000
NI-1-1/069	Summerland Park	90701	432153.06300	4456569.75200	-105.79783	40.25874	"W105? 47? 52.19"""	"N40? 15? 31.45"""	432106.70835	4456779.05748	-105.79840	40.25872	"W105? 47? 54.22"""	"N40? 15? 31.4"""	8/1/2005	G080121A.cor	6.00000	4.00000	124.00000	1.00000	2.00000	432113.26316900000	4456773.55480000000
NI-11/079	North Inlet Falls	90716	438764.53400	4458704.70900	-105.72029	40.27848	"W105? 43? 13.06"""	"N40? 16? 42.53"""	438718.29577	4458913.98365	-105.72086	40.27846	"W105? 43? 15.08"""	"N40? 16? 42.47"""	7/5/2005	H070515A.cor	12.00000	9.00000	123.00000	3.00000	7.00000	438724.75027400000	4458908.51710000000
NI-12-1/080	Pine Martin	90775	438884.43900	4458675.24200	-105.71888	40.27822	"W105? 43? 07.97"""	"N40? 16? 41.6"""	438838.20214	4458884.51518	-105.71944	40.27821	"W105? 43? 10."""	"N40? 16? 41.55"""	7/5/2005	H070515B.cor	12.00000	6.00000	134.00000	3.00000	4.00000	438844.65556600000	4458879.05003000000
NI-12-2/080	Pine Martin	90775	438887.00000	4458597.00100	-105.71884	40.27752	"W105? 43? 07.84"""	"N40? 16? 39.06"""	438840.76234	4458806.27328	-105.71941	40.27750	"W105? 43? 09.86"""	"N40? 16? 39.01"""	7/5/2005	H070515B.cor	10.00000	4.00000	125.00000	2.00000	5.00000	438847.21657400000	4458800.80884000000
NI-13-1/081	July	90779	440376.52100	4459693.20400	-105.70143	40.28750	"W105? 42? 05.13"""	"N40? 17? 15."""	440330.31598	4459902.47448	-105.70199	40.28749	"W105? 42? 07.16"""	"N40? 17? 14.95"""	7/4/2005	H070501B.cor	9.00000	4.00000	125.00000	2.00000	4.00000	440336.74119600000	4459897.01454000000
NI-13-2/081	July	90779	440320.25300	4459781.68400	-105.70210	40.28829	"W105? 42? 07.55"""	"N40? 17? 17.86"""	440274.04813	4459990.95601	-105.70266	40.28828	"W105? 42? 09.57"""	"N40? 17? 17.8"""	7/4/2005	H070501C.cor	9.00000	4.00000	122.00000	2.00000	3.00000	440280.47305800000	4459985.49475000000
NI-13-3/081	July	90779	440240.19100	4459825.96200	-105.70304	40.28869	"W105? 42? 10.95"""	"N40? 17? 19.27"""	440193.98548	4460035.23526	-105.70360	40.28867	"W105? 42? 12.97"""	"N40? 17? 19.22"""	7/4/2005	H070502A.cor	6.00000	6.00000	122.00000	2.00000	7.00000	440200.41086300000	4460029.77286000000
NI-13-G/081	July	90779	440441.01500	4459876.58300	-105.70068	40.28916	"W105? 42? 02.46"""	"N40? 17? 20.97"""	440394.81286	4460085.85493	-105.70125	40.28914	"W105? 42? 04.49"""	"N40? 17? 20.91"""	7/4/2005	H070501D.cor	12.00000	4.00000	142.00000	2.00000	9.00000	440401.23535200000	4460080.39399000000
NI-1-G/069	Summerland Park	90701	432237.05400	4456557.35700	-105.79684	40.25863	"W105? 47? 48.63"""	"N40? 15? 31.07"""	432190.70044	4456766.66172	-105.79741	40.25862	"W105? 47? 50.66"""	"N40? 15? 31.02"""	8/1/2005	G080121A.cor	6.00000	3.00000	123.00000	2.00000	8.00000	432197.25437400000	4456761.15977000000
NI-2-1/070	Twinberry	90702	434466.46500	4457635.50700	-105.77074	40.26852	"W105? 46? 14.65"""	"N40? 16? 06.68"""	434420.15474	4457844.80639	-105.77130	40.26851	"W105? 46? 16.69"""	"N40? 16? 06.62"""	8/1/2005	G080120A.cor	9.00000	2.00000	122.00000	2.00000	6.00000	434426.67080000000	4457839.31243000000
NI-2-2/070	Twinberry	90702	434517.90700	4457594.78400	-105.77013	40.26816	"W105? 46? 12.46"""	"N40? 16? 05.37"""	434471.59706	4457804.08258	-105.77069	40.26814	"W105? 46? 14.49"""	"N40? 16? 05.32"""	8/1/2005	G080120A.cor	11.00000	4.00000	123.00000	2.00000	6.00000	434478.11292600000	4457798.58934000000
NI-3/071	Cascade Falls	90703	434945.82200	4458006.42300	-105.76514	40.27190	"W105? 45? 54.5"""	"N40? 16? 18.84"""	434899.52249	4458215.72294	-105.76570	40.27189	"W105? 45? 56.53"""	"N40? 16? 18.79"""	8/1/2005	G080118A.cor	5.00000	2.00000	123.00000	1.00000	3.00000	434906.02896500000	4458210.22935000000
NI-4-1/072	Big Pool	90707	435481.50300	4459473.09800	-105.75899	40.28515	"W105? 45? 32.35"""	"N40? 17? 06.56"""	435435.22639	4459682.41027	-105.75955	40.28514	"W105? 45? 34.38"""	"N40? 17? 06.5"""	8/1/2005	G080117A.cor	6.00000	4.00000	122.00000	2.00000	5.00000	435441.71125600000	4459676.90795000000
NI-4-2/072	Big Pool	90707	435470.64400	4459544.88400	-105.75912	40.28580	"W105? 45? 32.83"""	"N40? 17? 08.88"""	435424.36798	4459754.19713	-105.75968	40.28579	"W105? 45? 34.87"""	"N40? 17? 08.83"""	8/1/2005	G080117A.cor	5.00000	3.00000	125.00000	2.00000	4.00000	435430.85222900000	4459748.69412000000
NI-5-1/073	Grouseberry	90708	437277.03500	4459560.22600	-105.73787	40.28608	"W105? 44? 16.34"""	"N40? 17? 09.87"""	437230.78486	4459769.52436	-105.73844	40.28606	"W105? 44? 18.37"""	"N40? 17? 09.82"""	7/3/2005	H070322A.cor	12.00000	5.00000	137.00000	3.00000	12.00000	437237.24763600000	4459764.03618000000
NI-5-2/073	Grouseberry	90708	437303.01300	4459547.64100	-105.73757	40.28596	"W105? 44? 15.24"""	"N40? 17? 09.47"""	437256.76310	4459756.93897	-105.73813	40.28595	"W105? 44? 17.27"""	"N40? 17? 09.42"""	7/3/2005	H070322A.cor	10.00000	4.00000	124.00000	2.00000	8.00000	437263.22569900000	4459751.45115000000
NI-6/074	North Inlet Horse/Group	90709	437449.52200	4459477.32000	-105.73584	40.28534	"W105? 44? 09.01"""	"N40? 17? 07.23"""	437403.27343	4459686.61579	-105.73640	40.28533	"W105? 44? 11.04"""	"N40? 17? 07.18"""	7/3/2005	H070322B.cor	6.00000	3.00000	124.00000	2.00000	4.00000	437409.73505800000	4459681.12998000000
NI-7-1/075	Foot Bridge	90710	437536.55800	4459505.85700	-105.73482	40.28561	"W105? 44? 05.33"""	"N40? 17? 08.18"""	437490.31095	4459715.15229	-105.73538	40.28559	"W105? 44? 07.36"""	"N40? 17? 08.13"""	7/3/2005	H070323A.cor	6.00000	2.00000	124.00000	2.00000	3.00000	437496.77127000000	4459709.66705000000
NI-8/076	Ptarmigan	90711	437735.58100	4459518.20800	-105.73248	40.28573	"W105? 43? 56.91"""	"N40? 17? 08.63"""	437689.33688	4459727.50154	-105.73304	40.28572	"W105? 43? 58.94"""	"N40? 17? 08.58"""	7/5/2005	H070519A.cor	12.00000	4.00000	139.00000	1.00000	2.00000	437695.79475500000	4459722.01808000000
NI-9-1/077	Porcupine	90712	437973.10500	4459279.50600	-105.72966	40.28360	"W105? 43? 46.77"""	"N40? 17? 00.96"""	437926.86172	4459488.79461	-105.73022	40.28358	"W105? 43? 48.8"""	"N40? 17? 00.9"""	7/5/2005	H070518A.cor	5.00000	3.00000	121.00000	2.00000	4.00000	437933.31933700000	4459483.31550000000
NI-9-2/077	Porcupine	90712	438011.61100	4459224.78600	-105.72920	40.28311	"W105? 43? 45.12"""	"N40? 16? 59.19"""	437965.36769	4459434.07363	-105.72976	40.28309	"W105? 43? 47.15"""	"N40? 16? 59.14"""	7/5/2005	H070518B.cor	6.00000	3.00000	124.00000	2.00000	7.00000	437971.82543200000	4459428.59536000000
NS-10/100	Rockslide	91521	431998.47800	4469986.82400	-105.80107	40.37959	"W105? 48? 03.87"""	"N40? 22? 46.53"""	431952.25963	4470196.26286	-105.80164	40.37958	"W105? 48? 05.9"""	"N40? 22? 46.47"""	8/17/2005	H081717B.cor	10.00000	4.00000	121.00000	3.00000	5.00000	431958.67763900000	4470190.65966000000
NS-11/110	Skeleton Gulch	91530	425398.39800	4478850.56200	-105.87986	40.45887	"W105? 52? 47.48"""	"N40? 27? 31.95"""	425352.17491	4479060.09182	-105.88042	40.45886	"W105? 52? 49.53"""	"N40? 27? 31.89"""	7/29/2005	I072921B.cor	0.00000	0.00000	122.00000	2.00000	2.00000	425358.58141300000	4479054.41931000000
NS-12-1/101	Snowbird	91522	432203.19200	4469828.90700	-105.79865	40.37819	"W105? 47? 55.13"""	"N40? 22? 41.47"""	432156.97497	4470038.34359	-105.79921	40.37817	"W105? 47? 57.16"""	"N40? 22? 41.41"""	8/17/2005	H081717C.cor	10.00000	5.00000	124.00000	3.00000	3.00000	432163.39214100000	4470032.74228000000
NS-12-2/101	Snowbird	91522	432246.01700	4469810.61100	-105.79814	40.37802	"W105? 47? 53.3"""	"N40? 22? 40.89"""	432199.80041	4470020.04726	-105.79871	40.37801	"W105? 47? 55.34"""	"N40? 22? 40.83"""	8/17/2005	H081717C.cor	12.00000	7.00000	123.00000	2.00000	6.00000	432206.21724500000	4470014.44623000000
NS-13/107	Dutch Town	91527	425362.25400	4476175.48700	-105.87997	40.43477	"W105? 52? 47.89"""	"N40? 26? 05.18"""	425316.00289	4476384.99676	-105.88054	40.43476	"W105? 52? 49.93"""	"N40? 26? 05.12"""	7/30/2005	I073016A.cor	0.00000	0.00000	122.00000	2.00000	12.00000	425322.43735900000	4476379.33775000000
NS-14-1/098	Timber Creek	91519	430252.98200	4468941.76900	-105.82152	40.37003	"W105? 49? 17.47"""	"N40? 22? 12.12"""	430206.72753	4469151.20446	-105.82209	40.37002	"W105? 49? 19.51"""	"N40? 22? 12.06"""	8/17/2005	H081716A.cor	12.00000	4.00000	122.00000	2.00000	4.00000	430213.17739000000	4469145.60208000000
NS-14-2/098	Timber Creek	91519	430322.11800	4468944.72500	-105.82071	40.37007	"W105? 49? 14.54"""	"N40? 22? 12.24"""	430275.86456	4469154.16022	-105.82127	40.37005	"W105? 49? 16.58"""	"N40? 22? 12.18"""	8/17/2005	H081716A.cor	11.00000	4.00000	122.00000	2.00000	3.00000	430282.31355900000	4469148.55809000000
NS-15-N/102	Valley View	91523	426918.60700	4473740.46700	-105.86134	40.41298	"W105? 51? 40.83"""	"N40? 24? 46.71"""	426872.35351	4473949.95447	-105.86191	40.41296	"W105? 51? 42.87"""	"N40? 24? 46.66"""	8/16/2005	I081619C.cor	0.00000	0.00000	123.00000	3.00000	7.00000	426878.79419100000	4473944.31180000000
