marker-color,marker-size,marker-symbol,Place,Type,lon,lat
#7e7e7e,medium,,"The Oval, classic CSU",Outside,-105.0807524,40.57649401
#7e7e7e,medium,,Lory Student Center,Building,-105.0845718,40.57466862
