GHCN ID,Station Name,County,State,Elevation,Latitude,Longitude,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb
US1COSM0008,SLICK ROCK 1.3 N,SAN MIGUEL,Colorado,5459,38.06,-108.91,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M
US1COBO0002,BROOMFIELD 1.2 NE,BOULDER,Colorado,5458,39.94,-105.08,0,0,0,0,0,0,0,T,T,T,T,0.5,0.5,1.5,1,1,T,2.5,2,T,1.5,T,T,0,9,6.5,4.5,3
US1COBO0456,BOULDER 2.2 SSW,BOULDER,Colorado,5456,40.0,-105.27,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1CODN0074,DENVER 6.0 W,DENVER,Colorado,5452,39.76,-105.05,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,4,M,M,M,M,M,M,10.5,M,M,M
US1COAD0225,WESTMINSTER 2.3 SSE,ADAMS,Colorado,5450,39.85,-105.04,M,M,M,M,M,M,M,M,M,M,M,M,T,1.2,1.2,M,M,3,2,M,2.5,M,M,M,11,8.5,5,M
USC00056320,PARADOX 2N,MONTROSE,Colorado,5445,38.39,-108.95,2,1,T,0,0,0,0,0,0,0,0,0,0,T,T,T,1,0,0,0,0,0,0,0,0,0,0,0
US1CODN0141,DENVER 5.3 SW,DENVER,Colorado,5444,39.68,-105.04,M,M,M,M,M,M,M,M,M,M,T,T,T,M,T,M,M,3.2,M,M,2.2,M,M,M,11,M,M,M
US1COBR0049,BROOMFIELD 1.3 WSW,BROOMFIELD,Colorado,5443,39.93,-105.08,M,M,M,M,M,M,M,M,M,M,M,M,0.3,1.5,M,T,M,4.6,T,M,2.5,M,M,M,8.3,5.5,4,M
US1CODN0122,DENVER 3.5 SE,DENVER,Colorado,5441,39.69,-104.92,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13,M,M,M
US1COBO0282,BOULDER 4.4 S,BOULDER,Colorado,5439,39.96,-105.24,M,M,M,M,M,M,M,M,M,M,M,0.5,0.5,1,M,M,M,6,M,M,M,M,M,M,7,2,M,M
